C1,sfmlearner,kitti,disp,,,x,,,avg,
C2,sfmlearner,kitti,depth,,,x,,,avg,
C3,sfmlearner,kitti,depth,,,,,,avg,
C4,sfmlearner,kitti,depth,,,,x,,avg,
C5,sfmlearner,kitti,depth,x,,,x,,avg,
C6,sfmlearner,kitti,depth,x,,,x,x,min,
C7,sfmlearner,kitti,depth,x,x,,x,x,min,
C8,sfmlearner,kitti,depth,x,x,,x,x,min,x
C9,sfmlearner,lyft,depth,x,x,,x,x,min,x
C10,monodepth2,kitti,depth,,,,x,,avg,
C11,monodepth2,kitti,depth,x,x,,x,x,min,
C12,monodepth2,kitti,depth,x,x,,x,x,min,x
C13,monodepth2,lyft,depth,x,x,,x,x,min,x
